command,man_page_url
dh_auto_build,https://man7.org/linux/man-pages/man1/dh_auto_build.1.html
dh_auto_clean,https://man7.org/linux/man-pages/man1/dh_auto_clean.1.html
dh_auto_configure,https://man7.org/linux/man-pages/man1/dh_auto_configure.1.html
dh_auto_install,https://man7.org/linux/man-pages/man1/dh_auto_install.1.html
dh_auto_test,https://man7.org/linux/man-pages/man1/dh_auto_test.1.html
dh_bugfiles,https://man7.org/linux/man-pages/man1/dh_bugfiles.1.html
dh_builddeb,https://man7.org/linux/man-pages/man1/dh_builddeb.1.html
dh_clean,https://man7.org/linux/man-pages/man1/dh_clean.1.html
dh_compress,https://man7.org/linux/man-pages/man1/dh_compress.1.html
dh_dwz,https://man7.org/linux/man-pages/man1/dh_dwz.1.html
dh_fixperms,https://man7.org/linux/man-pages/man1/dh_fixperms.1.html
dh_gconf,https://man7.org/linux/man-pages/man1/dh_gconf.1.html
dh_gencontrol,https://man7.org/linux/man-pages/man1/dh_gencontrol.1.html
dh_icons,https://man7.org/linux/man-pages/man1/dh_icons.1.html
dh_install,https://man7.org/linux/man-pages/man1/dh_install.1.html
dh_installalternatives,https://man7.org/linux/man-pages/man1/dh_installalternatives.1.html
dh_installcatalogs,https://man7.org/linux/man-pages/man1/dh_installcatalogs.1.html
dh_installchangelogs,https://man7.org/linux/man-pages/man1/dh_installchangelogs.1.html
dh_installcron,https://man7.org/linux/man-pages/man1/dh_installcron.1.html
dh_installdeb,https://man7.org/linux/man-pages/man1/dh_installdeb.1.html
dh_installdebconf,https://man7.org/linux/man-pages/man1/dh_installdebconf.1.html
dh_installdirs,https://man7.org/linux/man-pages/man1/dh_installdirs.1.html
dh_installdocs,https://man7.org/linux/man-pages/man1/dh_installdocs.1.html
dh_installemacsen,https://man7.org/linux/man-pages/man1/dh_installemacsen.1.html
dh_installexamples,https://man7.org/linux/man-pages/man1/dh_installexamples.1.html
dh_installgsettings,https://man7.org/linux/man-pages/man1/dh_installgsettings.1.html
dh_installifupdown,https://man7.org/linux/man-pages/man1/dh_installifupdown.1.html
dh_installinfo,https://man7.org/linux/man-pages/man1/dh_installinfo.1.html
dh_installinit,https://man7.org/linux/man-pages/man1/dh_installinit.1.html
dh_installinitramfs,https://man7.org/linux/man-pages/man1/dh_installinitramfs.1.html
dh_installlogcheck,https://man7.org/linux/man-pages/man1/dh_installlogcheck.1.html
dh_installlogrotate,https://man7.org/linux/man-pages/man1/dh_installlogrotate.1.html
dh_installman,https://man7.org/linux/man-pages/man1/dh_installman.1.html
dh_installmanpages,https://man7.org/linux/man-pages/man1/dh_installmanpages.1.html
dh_installmenu,https://man7.org/linux/man-pages/man1/dh_installmenu.1.html
dh_installmime,https://man7.org/linux/man-pages/man1/dh_installmime.1.html
dh_installmodules,https://man7.org/linux/man-pages/man1/dh_installmodules.1.html
dh_installpam,https://man7.org/linux/man-pages/man1/dh_installpam.1.html
dh_installppp,https://man7.org/linux/man-pages/man1/dh_installppp.1.html
